,b'snapshot-date,sku,fnsku,asin,product-name,condition,sales-rank,product-group,total-quantity,sellable-quantity,unsellable-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,units-shipped-last-24-hrs,units-shipped-last-7-days,units-shipped-last-30-days,units-shipped-last-90-days,units-shipped-last-180-days,units-shipped-last-365-days,weeks-of-cover-t7,weeks-of-cover-t30,weeks-of-cover-t90,weeks-of-cover-t180,weeks-of-cover-t365,num-afn-new-sellers,num-afn-used-sellers,currency,your-price,sales-price,lowest-afn-new-price,lowest-afn-used-price,lowest-mfn-new-price,lowest-mfn-used-price,qty-to-be-charged-ltsf-12-mo,qty-in-long-term-storage-program,qty-with-removals-in-progress,projected-ltsf-12-mo,per-unit-volume,is-hazmat,in-bound-quantity,asin-limit,inbound-recommend-quantity,qty-to-be-charged-ltsf-6-mo,projected-ltsf-6-mo
0,2020-08-08T23:00:00+00:00,IWWSF00605BK/FXXS AMZ,X0014UPC15,B00ORWYH0G,Izas Chaqueta Softshell Tahoe,New,25143,gl_sports,1,1,0,1,0,0,0,0,0,0,0,1,1,1,Infinite,Infinite,13.0,26.0,52.0,1,0,EUR,52.99,52.99,52.99,0.00,58.49,0.00,0,0,,0.00,9935.805808,N,0,0,0,0,0.00
1,2020-08-08T23:00:00+00:00,IWLPF00565VI/BKXXL AMZ,X0014S8IYZ,B0716SZ27W,Izas Chaqueta Forro Polar Wheeler,New,8258,gl_sports,2,2,0,0,2,0,0,0,0,0,0,0,1,1,Infinite,Infinite,Infinite,52.0,104.0,2,0,EUR,16.99,16.99,12.95,0.00,14.99,0.00,0,0,,0.00,6045.79419,N,0,0,0,0,0.00
2,2020-08-08T23:00:00+00:00,IWLPF00565FX/BKXXL AMZ,X0014S8F6V,B00R4LBTEE,Izas Chaqueta Forro Polar Wheeler,New,8258,gl_sports,3,3,0,3,0,0,0,0,0,0,0,0,5,5,Infinite,Infinite,Infinite,15.6,31.2,2,0,EUR,16.99,16.99,16.99,0.00,14.99,0.00,0,0,,0.00,6424.718101,N,0,0,0,0,0.00
3,2020-08-08T23:00:00+00:00,IWLPF00565VI/BK3XL AMZ,X0014S88F9,B0719DHN6G,Izas Chaqueta Forro Polar Wheeler,New,8258,gl_sports,1,1,0,0,0,1,0,0,0,0,0,0,1,1,Infinite,Infinite,Infinite,26.0,52.0,2,0,EUR,16.99,16.99,12.95,0.00,14.99,0.00,0,0,,0.00,5265.011572,N,0,0,0,0,0.00
4,2020-08-08T23:00:00+00:00,IWYPD00933BR/DGM AMZ,X0014S7D4B,B075K53LQK,Izas Chaqueta de Fibra Ultraligera Ailama,New,16952,gl_sports,1,1,0,1,0,0,0,0,0,0,0,1,5,15,Infinite,Infinite,13.0,5.2,3.4666666666667,2,0,EUR,52.99,52.99,48.98,0.00,49.99,0.00,0,0,,0.00,6600.014499,N,0,0,0,0,0.00
5,2020-08-08T23:00:00+00:00,IWLPF00565FX/BK3XL AMZ,X0014S5C2B,B00R4LBEG2,Izas Chaqueta Forro Polar Wheeler,New,8258,gl_sports,2,2,0,0,0,2,0,0,0,0,0,0,3,3,Infinite,Infinite,Infinite,17.3333333333333,34.6666666666667,2,0,EUR,16.99,16.99,12.95,0.00,14.99,0.00,0,0,,0.00,5440.011937,N,0,0,0,0,0.00
6,2020-08-08T23:00:00+00:00,IWLPF00565FX/BKM AMZ,X0014S2ZZX,B00R4LBKP2,Izas Chaqueta Forro Polar Wheeler,New,8258,gl_sports,1,1,0,0,1,0,0,0,0,0,0,0,6,7,Infinite,Infinite,Infinite,4.3333333333333,7.4285714285714,2,0,EUR,16.99,16.99,16.99,0.00,14.99,0.00,0,0,,0.00,5715.372539,N,0,0,0,0,0.00
7,2020-08-08T23:00:00+00:00,IMYPD00916DQ/LM3XL AMZ,X0014S2BB1,B072HXL7B8,Izas Chaqueta de Fibra Ultraligera Sindu,New,6993,gl_sports,2,2,0,0,0,2,0,0,0,0,0,0,0,1,Infinite,Infinite,Infinite,Infinite,104.0,1,0,EUR,54.99,54.99,54.99,0.00,49.99,0.00,0,0,,0.00,11254.52471,N,0,0,0,0,0.00
8,2020-08-08T23:00:00+00:00,IMYPD00916DQ/LM4XL AMZ,X0014S2B93,B071LB25YR,Izas Chaqueta de Fibra Ultraligera Sindu,New,6993,gl_sports,2,2,0,0,0,2,0,0,0,0,0,0,0,1,Infinite,Infinite,Infinite,Infinite,104.0,2,0,EUR,49.99,49.99,46.98,0.00,49.99,0.00,0,0,,0.00,12505.027457,N,0,0,0,0,0.00
9,2020-08-08T23:00:00+00:00,IMLPF00348RD/BKXL AMZ,X0014S29UJ,B071NWRJTJ,Izas Chaqueta de Forro Polar Padru,New,30278,gl_sports,1,1,0,1,0,0,0,0,0,0,0,1,4,5,Infinite,Infinite,13.0,6.5,10.4,2,0,EUR,16.99,16.99,16.02,0.00,14.99,0.00,0,0,,0.00,6689.145722,N,0,0,0,0,0.00
